                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.58852,                0.91346,                0.49992,                0.93837,                0.90611,                0.91604,                0.95631,                0.83431,                 0.9088,                0.91885,                0.95585,                0.81835,                0.61263,                0.99389,                0.46546,                0.94552,             0.00029699,             0.00029699,             0.00029699
                     64,                0.58669,                0.91588,                0.50117,                0.93931,                0.92008,                 0.9116,                0.96323,                0.83807,                 0.9186,                0.91606,                0.96064,                 0.8264,                0.61471,                0.98133,                0.45089,                0.94442,             0.00028937,             0.00028937,             0.00028937
                     65,                0.59325,                 0.9108,                0.50378,                0.94334,                0.91831,                0.92908,                0.96172,                0.83553,                0.91976,                0.93224,                0.96341,                0.82568,                0.60479,                0.96864,                0.44966,                0.94106,             0.00028176,             0.00028176,             0.00028176
                     66,                0.58747,                0.91474,                 0.4942,                0.94276,                 0.9458,                0.93062,                0.96348,                0.83822,                 0.9468,                0.93157,                0.96168,                0.82906,                0.61844,                0.97376,                0.44591,                0.94705,             0.00027415,             0.00027415,             0.00027415
                     67,                0.58108,                0.90208,                0.50103,                0.93932,                0.93894,                0.91328,                0.95791,                0.83185,                0.94108,                0.91603,                0.96099,                0.82602,                0.61713,                0.99895,                0.45207,                0.94675,             0.00026654,             0.00026654,             0.00026654
                     68,                0.58798,                0.90935,                0.49537,                0.93446,                0.90523,                0.94023,                0.96235,                0.83982,                0.90645,                0.94161,                0.96286,                0.82664,                0.60946,                0.97228,                0.44336,                 0.9426,             0.00025892,             0.00025892,             0.00025892
                     69,                0.57967,                0.89118,                0.48296,                0.93405,                0.92604,                0.92223,                0.95971,                0.83669,                0.93151,                0.92149,                0.96131,                0.82681,                0.60894,                0.97305,                0.44371,                0.94057,             0.00025131,             0.00025131,             0.00025131
                     70,                0.57687,                0.89663,                0.48004,                0.92997,                0.94165,                0.91661,                0.96311,                0.83682,                0.94137,                0.91786,                0.96288,                 0.8237,                0.61177,                0.97671,                0.44169,                0.94569,              0.0002437,              0.0002437,              0.0002437
                     71,                0.57779,                0.88914,                 0.4784,                0.93303,                0.92967,                0.91811,                0.95735,                0.84217,                0.92761,                0.92512,                0.96155,                0.83179,                0.60834,                0.96455,                0.44232,                 0.9433,             0.00023608,             0.00023608,             0.00023608
                     72,                0.56623,                0.86702,                0.47071,                0.92871,                0.94046,                0.92007,                0.96312,                 0.8356,                0.93005,                0.93968,                0.96169,                0.83059,                0.60988,                0.96648,                0.42991,                0.94944,             0.00022847,             0.00022847,             0.00022847
                     73,                0.57859,                0.89806,                0.47683,                0.93195,                0.92962,                0.93114,                0.96088,                0.84018,                0.93069,                0.93209,                0.96038,                0.82801,                0.59938,                0.95769,                 0.4359,                0.93937,             0.00022086,             0.00022086,             0.00022086
                     74,                0.56092,                0.86553,                0.46761,                0.92764,                0.90265,                0.94072,                0.96144,                0.83732,                0.90715,                0.94549,                0.96116,                0.82533,                0.61088,                0.96061,                0.44537,                0.94811,             0.00021324,             0.00021324,             0.00021324
                     75,                0.56842,                0.87437,                0.47023,                0.93255,                 0.9226,                0.92668,                0.95959,                0.83888,                0.92589,                0.93001,                0.95937,                0.82906,                0.60643,                0.98754,                 0.4443,                0.94088,             0.00020563,             0.00020563,             0.00020563
                     76,                0.57053,                0.87891,                0.46534,                0.93298,                0.93802,                0.91573,                0.96212,                0.84697,                0.93814,                0.91743,                0.96313,                0.83133,                0.59138,                 0.9674,                0.42708,                0.93675,             0.00019802,             0.00019802,             0.00019802
                     77,                0.56473,                0.86747,                0.46542,                0.93223,                0.94618,                0.91219,                0.96343,                0.84525,                0.94869,                0.91403,                0.96202,                0.83186,                0.59299,                0.97878,                 0.4231,                0.93484,              0.0001904,              0.0001904,              0.0001904
                     78,                0.56641,                0.87076,                0.46494,                 0.9271,                0.92013,                0.93705,                0.96076,                0.84732,                0.92052,                0.93742,                0.96157,                0.83366,                0.60012,                0.95637,                0.42639,                0.93713,             0.00018279,             0.00018279,             0.00018279
                     79,                0.55814,                0.86669,                0.46177,                0.92516,                0.92418,                0.93483,                0.96279,                0.84924,                0.92622,                0.93715,                0.96102,                0.83409,                0.59627,                0.95029,                0.41856,                0.93245,             0.00017518,             0.00017518,             0.00017518
